Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Intensity,Angle
0.019,0.001,-0.001,0.0,-0.0,0.0,0.001,-0.001,0.001,0.001,0,0
0.041,0.002,-0.003,-0.0,-0.001,-0.0,0.003,-0.003,0.003,0.003,0,0
0.057,0.002,-0.005,-0.001,-0.001,-0.0,0.004,-0.004,0.005,0.005,0,0
0.073,0.002,-0.006,-0.001,-0.002,0.0,0.005,-0.004,0.006,0.006,0,0
0.093,0.001,-0.005,-0.001,-0.002,-0.0,0.006,-0.003,0.005,0.007,0,0
0.11,-0.0,-0.004,-0.001,-0.003,-0.001,0.01,-0.003,0.003,0.011,0,0
0.126,-0.0,-0.002,-0.0,-0.004,-0.003,0.013,-0.004,-0.001,0.013,0,0
0.166,0.003,-0.0,0.002,-0.01,-0.011,0.017,-0.013,-0.011,0.015,0,0
0.182,0.005,0.0,0.003,-0.011,-0.01,0.016,-0.016,-0.01,0.013,0,0
0.199,0.008,0.001,0.005,-0.01,-0.009,0.016,-0.019,-0.01,0.012,0,0
0.217,0.01,0.001,0.005,-0.01,-0.006,0.02,-0.021,-0.008,0.015,0,0
0.238,0.013,0.002,0.006,-0.01,-0.006,0.02,-0.023,-0.008,0.014,0,0
0.258,0.016,0.003,0.005,-0.011,-0.005,0.024,-0.027,-0.008,0.019,0,0
0.276,0.017,0.004,0.005,-0.014,-0.009,0.028,-0.031,-0.012,0.023,0,0
0.294,0.018,0.005,0.005,-0.015,-0.01,0.032,-0.033,-0.015,0.027,0,0
0.313,0.019,0.006,0.004,-0.017,-0.012,0.035,-0.036,-0.018,0.031,0,0
0.331,0.02,0.008,0.003,-0.019,-0.012,0.04,-0.039,-0.02,0.037,0,0
0.35,0.021,0.009,0.003,-0.019,-0.012,0.042,-0.04,-0.02,0.039,0,0
0.366,0.022,0.01,0.003,-0.019,-0.01,0.042,-0.041,-0.02,0.039,0,0
0.385,0.024,0.011,0.003,-0.019,-0.01,0.04,-0.042,-0.021,0.037,0,0
0.404,0.026,0.011,0.003,-0.018,-0.01,0.036,-0.044,-0.021,0.032,0,0
0.424,0.029,0.01,0.004,-0.018,-0.011,0.032,-0.047,-0.021,0.028,0,0
0.455,0.031,0.009,0.004,-0.018,-0.013,0.027,-0.05,-0.022,0.023,0,0
0.472,0.035,0.007,0.004,-0.02,-0.015,0.027,-0.055,-0.022,0.023,0,0
0.488,0.037,0.007,0.005,-0.02,-0.014,0.028,-0.058,-0.021,0.023,0,0
0.519,0.039,0.007,0.005,-0.021,-0.015,0.032,-0.061,-0.021,0.027,0,0
0.536,0.042,0.006,0.005,-0.023,-0.015,0.037,-0.065,-0.021,0.032,0,0
0.553,0.044,0.005,0.005,-0.024,-0.015,0.039,-0.067,-0.021,0.034,0,0
0.57,0.045,0.005,0.005,-0.025,-0.016,0.039,-0.07,-0.021,0.034,0,0
0.591,0.046,0.004,0.004,-0.024,-0.017,0.037,-0.07,-0.021,0.032,0,0
0.608,0.046,0.003,0.004,-0.023,-0.017,0.034,-0.07,-0.02,0.03,0,0
