Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Teacher Intensity,Student Intensity,Angle Teacher,Angle Student,Ball-x,Ball-y,Target-x,Target-y,Score,Target Duration,Training Mode,Is Testing Boolean
0.077,-0.0,-0.001,-0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.098,-0.0,-0.001,-0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.135,-0.0,-0.001,-0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.162,-0.0,-0.001,-0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.19,-0.0,-0.001,-0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.209,-0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.231,-0.0,-0.001,0.0,-0.0,-0.0,0.0,0.0,0.001,-0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.255,-0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.309,-0.0,-0.001,-0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.336,-0.0,-0.001,-0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.356,-0.0,-0.001,-0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.374,-0.0,-0.001,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.392,-0.001,-0.001,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.412,-0.001,-0.001,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.431,-0.001,-0.001,0.0,-0.0,0.0,0.0,0.0,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
0.452,-0.001,-0.001,-0.0,-0.0,0.0,0.0,0.001,0.001,0.0,0,0,0,0,300,300,300,300,0,0,3,True
