Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Teacher Intensity,Student Intensity,Angle Teacher,Angle Student,Ball-x,Ball-y,Target-x,Target-y,Target Number,Score,Target Duration,Training Mode,Is Testing Boolean
0.026,-0.042,0.004,0.046,0.0,-0.002,0.001,0.042,-0.003,-0.047,0,0,0,0,303,299,480,300,8,0,0,3,True
0.046,-0.042,0.003,0.046,0.0,-0.002,0.001,0.042,-0.002,-0.047,0,0,0,0,303,299,480,300,8,0,0,3,True
0.071,-0.042,0.002,0.046,0.0,-0.002,0.001,0.042,-0.001,-0.048,0,0,0,0,303,298,480,300,8,0,0,3,True
0.088,-0.042,0.002,0.046,0.0,-0.002,0.001,0.042,-0.001,-0.048,0,0,0,0,303,298,480,300,8,0,0,3,True
0.109,-0.042,0.002,0.046,0.0,-0.002,0.001,0.042,-0.001,-0.048,0,0,0,0,303,298,480,300,8,0,0,3,True
0.13,-0.042,0.002,0.046,0.0,-0.002,0.001,0.042,-0.001,-0.047,0,0,0,0,303,298,480,300,8,0,0,3,True
0.149,-0.042,0.001,0.046,0.0,-0.002,0.001,0.042,0.0,-0.048,0,0,0,0,302,298,480,300,8,0,0,3,True
0.172,-0.042,0.001,0.046,0.0,-0.002,0.001,0.042,0.0,-0.048,0,0,0,0,302,298,480,300,8,0,0,3,True
0.191,-0.041,0.002,0.046,0.0,-0.002,0.001,0.042,-0.0,-0.047,0,0,0,0,302,298,480,300,8,0,0,3,True
0.21,-0.042,0.002,0.046,0.0,-0.002,0.001,0.042,-0.001,-0.048,0,0,0,0,302,298,480,300,8,0,0,3,True
0.229,-0.041,0.002,0.046,0.0,-0.002,0.001,0.042,-0.0,-0.048,0,0,0,0,302,298,480,300,8,0,0,3,True
0.25,-0.041,0.001,0.046,0.0,-0.002,0.001,0.042,-0.0,-0.048,0,0,0,0,303,298,480,300,8,0,0,3,True
0.273,-0.042,0.001,0.046,0.0,-0.002,0.001,0.042,0.0,-0.048,0,0,0,0,302,298,480,300,8,0,0,3,True
0.293,-0.042,0.002,0.046,0.0,-0.002,0.001,0.042,-0.0,-0.048,0,0,0,0,302,298,480,300,8,0,0,3,True
